Country,Year,Life expectancy
Albania,2015,76.5
Albania,2014,74.3
Albania,2013,75.8
Albania,2012,75.6
Albania,2011,75.5
Albania,2010,75.5
Algeria,2015,73.1
Algeria,2014,74.3
Algeria,2013,74.6
Algeria,2012,74.6
Algeria,2011,74.3
Algeria,2010,74.1
Bahamas,2015,74.9
Bahamas,2014,74.9
Bahamas,2013,74.9
Bahamas,2012,75.0
Bahamas,2011,74.9
Bahamas,2010,74.9
Bolivia (Plurinational State of),2015,74.0
Bolivia (Plurinational State of),2014,72.3
Bolivia (Plurinational State of),2013,71.9
Bolivia (Plurinational State of),2012,71.2
Bolivia (Plurinational State of),2011,72.1
Bolivia (Plurinational State of),2010,68.5
Bosnia and Herzegovina,2015,76.0
Bosnia and Herzegovina,2014,75.8
Bosnia and Herzegovina,2013,74.9
Bosnia and Herzegovina,2012,75.9
Bosnia and Herzegovina,2011,76.2
Bosnia and Herzegovina,2010,75.9
Colombia,2015,74.9
Colombia,2014,75.1
Colombia,2013,74.8
Colombia,2012,75.1
Colombia,2011,74.8
Colombia,2010,74.6
Croatia,2015,78.2
Croatia,2014,78.0
Croatia,2013,77.6
Croatia,2012,76.6
Croatia,2011,76.3
Croatia,2010,75.7
Denmark,2015,84.5
Denmark,2014,85.4
Denmark,2013,84.6
Denmark,2012,84.8
Denmark,2011,81.2
Denmark,2010,80.9
Ethiopia,2015,64.0
Ethiopia,2014,63.9
Ethiopia,2013,63.0
Ethiopia,2012,64.5
Ethiopia,2011,58.7
Ethiopia,2010,58.8
Gambia,2015,62.5
Gambia,2014,63.0
Gambia,2013,63.2
Gambia,2012,64.0
Gambia,2011,63.0
Gambia,2010,62.6
Georgia,2015,75.1
Georgia,2014,74.8
Georgia,2013,74.5
Georgia,2012,74.8
Georgia,2011,75.1
Georgia,2010,74.3
Ghana,2015,64.9
Ghana,2014,64.1
Ghana,2013,61.6
Ghana,2012,61.6
Ghana,2011,62.4
Ghana,2010,62.6
Guinea,2015,60.6
Guinea,2014,59.5
Guinea,2013,58.9
Guinea,2012,58.7
Guinea,2011,56.7
Guinea,2010,57.0
Guinea-Bissau,2015,61.6
Guinea-Bissau,2014,62.7
Guinea-Bissau,2013,60.8
Guinea-Bissau,2012,58.9
Guinea-Bissau,2011,58.4
Guinea-Bissau,2010,58.1
Haiti,2015,65.9
Haiti,2014,63.5
Haiti,2013,64.8
Haiti,2012,63.6
Haiti,2011,63.7
Haiti,2010,53.3
Hungary,2015,77.3
Hungary,2014,76.5
Hungary,2013,76.5
Hungary,2012,76.6
Hungary,2011,77.7
Hungary,2010,75.6
Jamaica,2015,74.8
Jamaica,2014,74.3
Jamaica,2013,74.2
Jamaica,2012,74.2
Jamaica,2011,74.7
Jamaica,2010,74.0
Jordan,2015,74.7
Jordan,2014,74.0
Jordan,2013,74.5
Jordan,2012,74.4
Jordan,2011,74.8
Jordan,2010,74.5
Latvia,2015,75.1
Latvia,2014,75.8
Latvia,2013,75.1
Latvia,2012,75.1
Latvia,2011,74.8
Latvia,2010,75.8
Lebanon,2015,75.4
Lebanon,2014,75.1
Lebanon,2013,75.1
Lebanon,2012,75.5
Lebanon,2011,75.5
Lebanon,2010,75.5
Lithuania,2015,77.6
Lithuania,2014,76.8
Lithuania,2013,74.5
Lithuania,2012,74.5
Lithuania,2011,75.8
Lithuania,2010,73.0
Mali,2015,58.8
Mali,2014,58.9
Mali,2013,58.8
Mali,2012,58.2
Mali,2011,58.8
Mali,2010,58.2
Malta,2015,82.2
Malta,2014,82.0
Malta,2013,81.2
Malta,2012,80.7
Malta,2011,81.0
Malta,2010,80.0
Namibia,2015,64.6
Namibia,2014,64.8
Namibia,2013,64.8
Namibia,2012,64.0
Namibia,2011,61.7
Namibia,2010,61.7
Netherlands,2015,82.2
Netherlands,2014,82.4
Netherlands,2013,82.6
Netherlands,2012,82.4
Netherlands,2011,84.2
Netherlands,2010,83.3
Norway,2015,82.9
Norway,2014,84.0
Norway,2013,83.0
Norway,2012,82.9
Norway,2011,85.9
Norway,2010,85.5
Poland,2015,79.0
Poland,2014,79.0
Poland,2013,78.3
Poland,2012,76.5
Poland,2011,76.2
Poland,2010,76.6
Portugal,2015,83.3
Portugal,2014,80.7
Portugal,2013,80.1
Portugal,2012,79.5
Portugal,2011,79.8
Portugal,2010,79.3
Republic of Moldova,2015,74.8
Republic of Moldova,2014,74.3
Republic of Moldova,2013,74.1
Republic of Moldova,2012,74.5
Republic of Moldova,2011,73.0
Republic of Moldova,2010,69.4
Samoa,2015,74.8
Samoa,2014,75.0
Samoa,2013,74.6
Samoa,2012,74.3
Samoa,2011,74.5
Samoa,2010,74.0
Sierra Leone,2015,62.2
Sierra Leone,2014,61.6
Sierra Leone,2013,62.7
Sierra Leone,2012,56.5
Sierra Leone,2011,52.6
Sierra Leone,2010,51.9
Suriname,2015,74.4
Suriname,2014,73.9
Suriname,2013,73.6
Suriname,2012,70.7
Suriname,2011,72.2
Suriname,2010,71.3
Syrian Arab Republic,2015,65.0
Syrian Arab Republic,2014,65.2
Syrian Arab Republic,2013,68.4
Syrian Arab Republic,2012,68.2
Syrian Arab Republic,2011,71.9
Syrian Arab Republic,2010,72.9
United States of America,2015,78.1
United States of America,2014,78.3
United States of America,2013,78.3
United States of America,2012,78.1
United States of America,2011,78.2
United States of America,2010,77.9
Zambia,2015,59.8
Zambia,2014,61.6
Zambia,2013,59.2
Zambia,2012,57.1
Zambia,2011,56.8
Zambia,2010,56.6
